1.3,1.4 1.554
1.5,-0.55 -1.239
1.6,-0.42 -1.186
1.8,-1.523 1.723
2,0.31 -0.410
2.2,1.2 -1.222
2.4,1.3 0.432
2.6,-0.666 1.222
2.5,0.132 1.681
2.7,-1.1 1.992
2.74,-0.11 0.623
2.43,-0.523 1.331
2.583,-0.931 0.472
3.22,-0.441 2.815
3.84,1.421 -0.761
4.05,0.84 0.2851
3.231,0.91 1.2
2.141,-1.225 1.585
1.562,-0.941 2.229
3.444,0.516 -0.551
2.315,-1.241 -0.853
2.854,1.994 1.851
3.222,1.226 -0.671
2.751,1.195 1.539
3.433,0.557 1.998
3.492,1.914 -0.574
3.029,0.295 -1.588
3.842,0.520 -0.827
3.392,1.721 0.482
